origin_city,origin_country,origin_station,destination_city,destination_country,destination_station,operator_name,duration,trip_count,frequency_bucket,transport_type,frequency_daily,frequency_label
Viana do Castelo (),ES,Viana do Castelo (Bus Station),Lisbon (Oriente),ES,Lisbon (Oriente),FlixBus/EU,04:45,12.0,Low,,,
Cascais (Alcabideche),ES,Cascais (Alcabideche),Porto (TIC - Campanhã),ES,Porto (TIC - Campanhã),FlixBus/EU,03:55,33.0,High,,,
Porto (TIC - Campanhã),ES,Porto (TIC - Campanhã),Cascais (Alcabideche),ES,Cascais (Alcabideche),FlixBus/EU,03:55,33.0,High,,,
Lisbon (Oriente),ES,Lisbon (Oriente),Faro (),ES,Faro (Bus Station),FlixBus/EU,03:30,68.0,Very High,,,
Faro (),ES,Faro (Bus Station),Lisbon (Oriente),ES,Lisbon (Oriente),FlixBus/EU,03:30,68.0,Very High,,,
Faro (),ES,Faro (Bus Station),Porto (TIC - Campanhã),ES,Porto (TIC - Campanhã),FlixBus/EU,08:04,18.0,Average,,,
Porto (TIC - Campanhã),ES,Porto (TIC - Campanhã),Faro (),ES,Faro (Bus Station),FlixBus/EU,07:55,18.0,Average,,,
Tavira (),ES,Tavira (Bus Station),Lisbon (Oriente),ES,Lisbon (Oriente),FlixBus/EU,04:05,10.0,Low,,,
Lisbon (Oriente),ES,Lisbon (Oriente),Tavira (),ES,Tavira (Bus Station),FlixBus/EU,04:05,10.0,Low,,,
Lagos,ES,Lagos,Lisbon (Oriente),ES,Lisbon (Oriente),FlixBus/EU,03:50,101.0,Very High,,,
Lisbon (Oriente),ES,Lisbon (Oriente),Lagos,ES,Lagos,FlixBus/EU,03:50,100.0,Very High,,,
Reutlingen,FR,Reutlingen central bus station,Munich,DE,Munich central bus station,FlixBus/EU,03:30,10.0,Low,,,
Armacao de Pera,ES,Armacao de Pera,Lisbon (Oriente),ES,Lisbon (Oriente),FlixBus/EU,03:10,18.0,Average,,,
Lisbon (Oriente),ES,Lisbon (Oriente),Armacao de Pera,ES,Armacao de Pera,FlixBus/EU,03:10,18.0,Average,,,
Munich,DE,Munich central bus station,Reutlingen,FR,Reutlingen central bus station,FlixBus/EU,03:55,10.0,Low,,,
Covilha (),ES,Covilha (Bus Station),Lisbon (Oriente),ES,Lisbon (Oriente),FlixBus/EU,03:50,6.0,Low,,,
Lisbon (Oriente),ES,Lisbon (Oriente),Guarda (),ES,Guarda (Bus Station),FlixBus/EU,03:50,24.0,Average,,,
